,video_id,category_1,category_2,rank,task_id
471084,-UjoFpUYUbQ,Home and Garden,Home Improvements and Repairs,59,116470
219376,-uT_lXmhcTA,Pets and Animals,Rabbits,10,5139
763593,0-7ACoSrZdo,Food and Entertaining,Recipes,60,102719
348274,00-STHohHCQ,Food and Entertaining,Recipes,37,34843
427270,02QzoFyqFUE,Food and Entertaining,Cooking for Children,28,76582
874740,03JdaRepHkA,Food and Entertaining,Drinks,49,50322
1083682,053cvNdlJIA,Food and Entertaining,Drinks,170,118803
446290,07bNoa1laUg,Education and Communications,Writing,16,188
435023,08foSccOfyA,Food and Entertaining,Recipes,114,97670
933665,094oPCD_gn8,Food and Entertaining,Care and Use of Cooking Equipment,5,12628
210302,097_9hZy-Oc,Hobbies and Crafts,Crafts,38,64292
1128967,09Ty_yE2wvw,Home and Garden,Home Improvements and Repairs,108,73448
78068,0d0P1NSmU5E,Food and Entertaining,Recipes,33,15529
133149,0EuGXqM9PJw,Food and Entertaining,Recipes,101,118396
119371,0HKCsIKANpU,Food and Entertaining,Recipes,5,70601
894871,0iPWYz3A0vc,Home and Garden,Housekeeping,107,52047
1183159,0jkP-napJQo,Food and Entertaining,Food Preparation,162,91191
1070888,0jo5nMw__WE,Home and Garden,Housekeeping,56,52036
311618,0KbW8Cx_agA,Home and Garden,Home Improvements and Repairs,138,96333
339193,0LI3nSAA1nY,Hobbies and Crafts,Crafts,106,105589
949999,0rRMf71ofI4,Food and Entertaining,Breakfast,73,64903
445661,0SCSM58SbEA,Arts and Entertainment,Music,50,117053
418361,0TlooVNC8uE,Personal Care and Style,Grooming,152,48502
220551,0tlQGmKaM18,Pets and Animals,Fish,57,17402
772133,0TWsNWMld0M,Food and Entertaining,Drinks,119,25720
487816,0tyE4gfkRaI,Home and Garden,Home Improvements and Repairs,92,60458
166169,0w49Q_QrW9s,Hobbies and Crafts,Crafts,108,113859
953588,0wslxh23M4U,Food and Entertaining,Drinks,159,22308
120066,0wzIqReO9FA,Health,Medication and Medical Equipment,102,122663
373063,0xkZENmBYi4,Hobbies and Crafts,Crafts,26,90430
519160,0XuRTPKSwwo,Food and Entertaining,Recipes,21,51652
754903,0Y_pi4sFir4,Food and Entertaining,Recipes,80,41710
942315,0zcf7mOqsWM,Hobbies and Crafts,Flags,20,71175
639198,0zsLjDluiBU,Home and Garden,Gardening,153,98730
1091370,1-A2Nv9fvaY,Home and Garden,Landscaping and Outdoor Building,35,22727
548030,10FfnqZm4Os,Home and Garden,Housekeeping,72,17265
773533,10jRuzL2OFo,Food and Entertaining,Recipes,19,69027
988627,12ff5hRYeEE,Hobbies and Crafts,Crafts,121,49552
301850,12Nb4IXIKVM,Education and Communications,Subjects,29,381
803589,12QkGO4Dox8,Education and Communications,Writing,88,207
583169,14trK_HU06E,Home and Garden,Home Improvements and Repairs,30,14858
771926,15ReZ8YjtaM,Food and Entertaining,Drinks,126,121386
605082,18AmieflK_I,Home and Garden,Gardening,91,46550
1191047,1ArrzyqyjIE,Home and Garden,Gardening,132,36479
875029,1BO6jTBcsxE,Food and Entertaining,Recipes,95,5679
558541,1Ce2au3PWnI,Home and Garden,Home Improvements and Repairs,4,13589
640472,1cHjvtp1vc4,Home and Garden,Housekeeping,8,64395
854632,1cVTSIQql5E,Home and Garden,Home Improvements and Repairs,138,538
505413,1E3XJavbFYQ,Hobbies and Crafts,Tricks and Pranks,150,57058
252372,1E52qZriIdU,Holidays and Traditions,Mother's Day,118,22791
964091,1Fhs_eezhYM,Food and Entertaining,Recipes,52,118426
653176,1G3tZKTrhUc,Food and Entertaining,Recipes,60,41776
885531,1IVzssM1G0E,Food and Entertaining,Recipes,112,106099
915130,1IZGz6ghcp8,Food and Entertaining,Recipes,63,80635
60370,1J4-vpex-pA,Hobbies and Crafts,Crafts,13,42791
1023111,1kwLB7vTb4Y,Food and Entertaining,Recipes,159,15323
730756,1L2oJOycn6s,Pets and Animals,Birds,88,72176
418383,1lEfnPJAbeM,Hobbies and Crafts,Crafts,112,39036
306197,1mzvXjGBqA8,Cars & Other Vehicles,Bicycles,14,121058
970890,1NdQjQImKqk,Home and Garden,Home Decorating,2,5321
1060585,1qbTZZtmHcw,Food and Entertaining,Recipes,155,87999
752257,1rKNYnj2fyU,Home and Garden,Housekeeping,161,101988
904571,1UVDpcEyHh4,Food and Entertaining,Recipes,174,96758
111587,1VJCVE8_sjA,Personal Care and Style,Grooming,121,122353
688020,1VTFLkJYwj4,Home and Garden,Tools,168,41308
244035,1XB4ADs7P24,Food and Entertaining,Recipes,55,97570
759468,1XHm7eiH7rs,Food and Entertaining,Food Preparation,111,91789
546967,1xtCLemt9pw,Food and Entertaining,Recipes,82,110023
1170082,1zFUB6AW7KA,Food and Entertaining,Drinks,22,25730
1216313,1zkvBTOi38I,Food and Entertaining,Recipes,109,113778
396536,24dezQoKzmw,Food and Entertaining,Recipes,84,120558
740059,269YhuRul68,Food and Entertaining,Recipes,11,106604
391390,28zUJpDL7qM,Home and Garden,Landscaping and Outdoor Building,32,92112
782604,299Go3nLWvg,Food and Entertaining,Recipes,83,26737
210756,2aPRmaQ6r3Q,Cars & Other Vehicles,Motorcycles,140,64263
1210015,2Aq29CmDjR8,Education and Communications,Subjects,5,369
354593,2arudUeEyEM,Holidays and Traditions,Halloween,174,38138
999624,2aYfz3Su-N4,Food and Entertaining,Care and Use of Cooking Equipment,94,59319
279475,2csJ77KSDmg,Food and Entertaining,Recipes,184,81898
792724,2cxoI2su5tU,Food and Entertaining,Recipes,10,61889
744014,2dsVAsmpI1c,Home and Garden,Gardening,163,121926
331861,2eox05oSLSs,Home and Garden,Housekeeping,144,64326
227027,2G533MIE59o,Hobbies and Crafts,Crafts,130,33723
1196132,2ggR9w4RyOs,Pets and Animals,Cats,67,9168
580272,2HGie3r34cQ,Hobbies and Crafts,Painting,173,5734
329140,2japP5d0qCI,Hobbies and Crafts,Model Making,181,97094
871557,2jDMxrBl0PM,Hobbies and Crafts,Tricks and Pranks,97,4200
251758,2JwjmlVdF2A,Hobbies and Crafts,Tricks and Pranks,62,118185
820967,2l0G33q_2BA,Food and Entertaining,Recipes,144,84756
1036002,2L9AUmGEAyo,Food and Entertaining,Recipes,39,65226
124638,2maGOJ2h1fM,Hobbies and Crafts,Crafts,162,7815
912956,2MiZCqeBqE0,Food and Entertaining,Drinks,47,25921
513839,2MxWAX_HuAw,Home and Garden,Home Decorating,167,121037
19481,2mY_I_mpEHI,Food and Entertaining,Recipes,71,105519
297980,2nhJdHIHupc,Food and Entertaining,Recipes,47,37486
472763,2QBAwggK1tQ,Food and Entertaining,Recipes,145,51024
334485,2QXCJ1bwNkc,Holidays and Traditions,Christmas,131,120082
1114589,2SKd6S4881Q,Hobbies and Crafts,Crafts,82,63493
770199,2tsaxxX7PM0,Arts and Entertainment,Music,133,115236
1006286,2U6vXxPecys,Home and Garden,Gardening,34,73951
235589,2Uk3ckMWBas,Hobbies and Crafts,Crafts,43,119478
249167,2v0pgTSncSo,Cars & Other Vehicles,Cars,28,44797
207115,2Wj-3-tjPI4,Education and Communications,Subjects,103,382
899567,2XGbWfcJ9mc,Home and Garden,Gardening,70,36539
753301,2_NchLcESqo,Food and Entertaining,Recipes,150,32140
791123,2_pL6aG7jWo,Home and Garden,Home Improvements and Repairs,57,17530
1011416,30AtS--or3A,Food and Entertaining,Herbs and Spices,63,19811
808791,31R2lj8W96Q,Food and Entertaining,Recipes,81,118416
447239,33bRgiSgQcA,Food and Entertaining,Recipes,105,118295
632863,37yz2sMjHlE,Home and Garden,Gardening,111,56873
842401,39X6wWkF7O4,Home and Garden,Gardening,25,11205
949978,3ACslM64Wxc,Food and Entertaining,Breakfast,113,64903
622473,3d5VwA-ksOA,Food and Entertaining,Recipes,1,75503
251922,3FgAWIr0lFM,Hobbies and Crafts,Crafts,185,44264
14077,3fiRa3yA6-k,Holidays and Traditions,Halloween,103,67922
669465,3G_J8VLjykM,Food and Entertaining,Recipes,114,96142
1093601,3IgL70aiUQQ,Food and Entertaining,Cooking for Children,24,76597
294310,3Ji7xCtI7HU,Hobbies and Crafts,Crafts,100,45436
714780,3kb8zCZmKIM,Food and Entertaining,Drinks,35,27331
955996,3KVIA0FBqeg,Food and Entertaining,Recipes,156,32222
451179,3M3EtIhDzvg,Food and Entertaining,Recipes,102,40527
257150,3NHJTi0DwBM,Personal Care and Style,Grooming,155,40265
534146,3njbSOHXLi8,Food and Entertaining,Recipes,12,96807
310932,3Nl4K7OVJiQ,Home and Garden,Landscaping and Outdoor Building,89,104978
659107,3oaWxIPA6pc,Home and Garden,Gardening,165,73974
446395,3Q-6M9bkZ2k,Food and Entertaining,Recipes,168,57441
1032342,3RxROvJUVlQ,Home and Garden,Landscaping and Outdoor Building,45,68893
646339,3s8cy1_8irk,Home and Garden,Housekeeping,31,12990
443788,3U3gPAdhPM4,Food and Entertaining,Recipes,52,37719
893377,3w6UuOARJxs,Hobbies and Crafts,Crafts,47,67139
586178,3wlgL9oBwtk,Food and Entertaining,Herbs and Spices,154,30898
97051,3WTZPKKYbvw,Food and Entertaining,Recipes,169,50911
815921,3xYhVqaAsEk,Food and Entertaining,Drinks,151,79282
139888,3zPXZ4cu66Q,Hobbies and Crafts,Crafts,147,44365
1053235,3_8tU6Czwug,Food and Entertaining,Holiday Cooking,109,116834
816676,3_m4uVte2Ok,Food and Entertaining,Recipes,81,102618
1225803,42ZFTTHurn4,Hobbies and Crafts,Crafts,107,92832
112885,467Mbe-pBIg,Home and Garden,Home Improvements and Repairs,14,13305
256584,47WBSFkwpW8,Food and Entertaining,Breakfast,2,102709
1180471,4aj7PKV95DI,Home and Garden,Housekeeping,130,18146
989832,4ApEjNi9H5E,Sports and Fitness,Outdoor Recreation,173,92633
451351,4aZESU1vXb0,Home and Garden,Home Improvements and Repairs,60,48456
852310,4b5Rra55bSA,Home and Garden,Home Improvements and Repairs,27,38283
1151798,4btOMgEVGkc,Food and Entertaining,Parties,32,59764
13840,4dPb7k81-_s,Home and Garden,Landscaping and Outdoor Building,30,11016
748111,4dx4rW7fB7c,Cars & Other Vehicles,Aviation,114,71634
633487,4ePyRMBBzns,Finance and Business,Business,74,33
874811,4GridWY3ZkE,Home and Garden,Gardening,7,65150
714708,4iy0z3XDk6Y,Food and Entertaining,Parties,143,59788
666723,4juo_wAlFms,Home and Garden,Home Improvements and Repairs,93,55143
775332,4KGbHFfee_s,Food and Entertaining,Recipes,79,21888
331,4lxjIKDm9Aw,Home and Garden,Gardening,27,88642
729827,4nCpmflQa00,Home and Garden,Housekeeping,18,17805
1111339,4Oft6425GX0,Food and Entertaining,Recipes,16,44301
710905,4oIXGf1t_Vk,Hobbies and Crafts,Woodworking,162,57706
312770,4oPyaN2m-v0,Holidays and Traditions,Easter,138,55509
803274,4oyVFd6yvgo,Cars & Other Vehicles,Driving Techniques,104,71144
434067,4Q1hsoKJNl8,Holidays and Traditions,Christmas,67,94240
310526,4SHhzPsD1tI,Hobbies and Crafts,Crafts,88,18998
286911,4sqsJQlZP88,Hobbies and Crafts,Crafts,93,59238
424191,4tDP1ubIci8,Education and Communications,Subjects,3,16421
516257,4VKxp53xSrQ,Home and Garden,Housekeeping,125,7882
79562,4whud8aDND8,Holidays and Traditions,Christmas,31,5838
550328,4WJY32jYwJY,Cars & Other Vehicles,Cars,90,64725
1215511,4xCzT-ZDw9g,,,85,72111
107212,4xqXibwaWmE,Holidays and Traditions,Gift Giving,137,52731
1038892,4Yq_eiTRUYg,Cars & Other Vehicles,Cars,61,40122
122155,4zbV1WtOjzY,Health,Recreational Drug Use,162,74768
729057,4ztxMRpfPKA,Food and Entertaining,Recipes,21,102535
1164708,4_enaSoiDXU,Hobbies and Crafts,Toys,54,3101
949538,4_NfaQHX4kU,Food and Entertaining,Recipes,14,71202
396580,51ueotVckLc,Food and Entertaining,Recipes,115,120558
946496,52berWgZw9I,Home and Garden,Gardening,22,64641
724151,52ft1SeNj9M,Food and Entertaining,Recipes,77,65240
52343,54M1K1ym19A,Hobbies and Crafts,Crafts,9,121075
1001927,54XnUgYrYO0,Home and Garden,Housekeeping,24,49270
367158,55U-RbhDG-U,Hobbies and Crafts,Crafts,120,92778
710297,58nMtiHU9BE,Food and Entertaining,Recipes,140,95435
101274,58_hgFFtuWE,Food and Entertaining,Recipes,16,95423
462724,5AFx_JZ8V2o,Food and Entertaining,Recipes,107,50919
338701,5ausKEls_-U,Sports and Fitness,Outdoor Recreation,14,60196
502837,5cZHwlTPsEA,Food and Entertaining,Recipes,32,15292
252989,5D--IIbsTrQ,Personal Care and Style,Grooming,58,86895
691140,5diSthnotgY,Home and Garden,Housekeeping,8,56365
1172352,5dSPaKMNNoU,Food and Entertaining,Recipes,5,1325
125383,5GPRPEzTk7k,Hobbies and Crafts,Crafts,139,85670
527034,5HeS-vAjEhw,Home and Garden,Housekeeping,120,821
43066,5Hh71R3QKHo,Cars & Other Vehicles,Cars,110,97204
266015,5j3jiAmDfak,Home and Garden,Tools,74,77465
258861,5kf1twe1UyY,Home and Garden,Home Improvements and Repairs,15,17579
89195,5KNumvhC0-8,Hobbies and Crafts,Crafts,121,22536
397505,5kSJhYZItao,Food and Entertaining,Drinks,4,36687
658741,5MazkOacZVk,Food and Entertaining,Recipes,103,1784
629500,5p0TgfaBofU,Food and Entertaining,,174,16437
178243,5TdYhkVutkQ,Holidays and Traditions,Easter,17,111760
774412,5TPwZVjuofk,Home and Garden,Home Improvements and Repairs,44,102490
500859,5uRmsP5RHlg,Home and Garden,Gardening,30,73962
788458,5VkacqWgeXI,Home and Garden,Home Improvements and Repairs,16,47235
1060345,5VtfwwhxRGw,Food and Entertaining,Drinks,108,64834
988447,5w0xaKBl0oA,Hobbies and Crafts,Crafts,126,46878
849905,6-Yusj-QuPo,Food and Entertaining,Recipes,79,58339
1017957,62pDUIrIZwU,Pets and Animals,Rabbits,65,84779
1055220,62rDsaaTjuQ,Hobbies and Crafts,Games,148,62593
369171,6aVSC8igtbI,Food and Entertaining,Holiday Cooking,59,7610
294413,6CkMbbdnRSg,Food and Entertaining,Recipes,13,35790
1190582,6CRlYpiAxoI,Food and Entertaining,Recipes,127,96088
633139,6DNEX4abbq0,Food and Entertaining,Recipes,84,34956
686867,6eG1WakeZr8,Hobbies and Crafts,Woodworking,104,32291
392527,6EO80axQ6Dw,Hobbies and Crafts,Crafts,21,91332
1229820,6fFKHC4aqec,Food and Entertaining,Barbecue,147,113800
859441,6FlfExCFCJQ,Home and Garden,Home Improvements and Repairs,87,82244
1065972,6gWNJdcxm9A,Hobbies and Crafts,Crafts,161,27770
293671,6HNH5elsIfU,Food and Entertaining,Food Preparation,148,53411
563546,6JohzQF6Jcc,Food and Entertaining,Recipes,88,97627
86814,6JZdCuM0yNw,Hobbies and Crafts,Tricks and Pranks,28,36620
779246,6KeGdM01eGs,Food and Entertaining,Recipes,89,75292
735772,6LDmKbSNG-w,Food and Entertaining,Recipes,78,84738
993273,6lOR-DBMgo8,Food and Entertaining,Recipes,66,43158
720986,6N91pcQJVIU,Home and Garden,Home Improvements and Repairs,107,54712
599372,6NYj8AspdKk,Food and Entertaining,Recipes,135,50356
158312,6O0nWmmnKJw,Hobbies and Crafts,Crafts,192,57783
1196494,6onH56DEyfI,Home and Garden,Gardening,96,36022
965848,6sGijz01cbU,Food and Entertaining,Drinks,167,25940
419481,6Ta43ApNGC4,Food and Entertaining,Recipes,100,20891
970956,6TMHlDe3Jdg,Food and Entertaining,Drinks,103,25662
796347,6Tqiv8y1CwU,Home and Garden,Home Improvements and Repairs,92,110270
798536,6tSKcn1fsIA,Food and Entertaining,Recipes,142,32132
1147437,6u8VcDwKMH8,Food and Entertaining,Drinks,112,79265
26913,6v3DdwfGJsM,Home and Garden,Tools,178,77459
369015,6VEpJ0BohIs,Hobbies and Crafts,Crafts,159,2214
1079032,6zGK4HwbVnw,Home and Garden,Housekeeping,51,23644
317206,6__ZwNN94wo,Home and Garden,Tools,61,41320
425065,75l_AtpGkks,Home and Garden,Home Improvements and Repairs,181,96294
586004,75qnEWVVLWk,Education and Communications,Writing,53,133
57340,75zKWf1eUfI,Education and Communications,Subjects,52,345
283260,78-xFBZdvn4,Food and Entertaining,Recipes,32,99819
1106874,7ajYqhIJvAk,Food and Entertaining,Recipes,64,16679
1087361,7cbje3Q0pJY,Home and Garden,Home Improvements and Repairs,145,46666
375274,7fiE6wfpxVs,Education and Communications,Subjects,180,342
643526,7FVRFQ_GuKU,Food and Entertaining,Recipes,74,8448
1029472,7GizAZ4OgC0,Home and Garden,Landscaping and Outdoor Building,142,10964
855031,7H1Mhljg-Rg,Food and Entertaining,Recipes,114,48079
769869,7HEPs0lhw68,Hobbies and Crafts,Crafts,97,117104
588598,7hfClQh3rxM,Home and Garden,Sustainable Living,62,113097
941062,7iF37EQAqbs,Food and Entertaining,Recipes,19,41799
250152,7iyR2kP0mWQ,Food and Entertaining,Holiday Cooking,69,7645
987944,7jITJxeYFO0,Food and Entertaining,Recipes,55,78472
622138,7k1ORH_gq4c,Food and Entertaining,Recipes,80,32069
875902,7lmI0u8CsKw,Home and Garden,Home Improvements and Repairs,16,30045
286231,7OvRe-fodcI,Food and Entertaining,Recipes,2,93821
107072,7P1pHPteKIU,Hobbies and Crafts,Crafts,102,50414
698845,7PA5cykP2uw,Food and Entertaining,Recipes,107,32104
628787,7pVrLlBWnpg,Food and Entertaining,Drinks,52,48927
918355,7QrWwlybiw4,Food and Entertaining,Recipes,35,102668
228467,7TlW1VRQ-zs,Hobbies and Crafts,Crafts,89,47850
792760,7U34qzOg3Tk,Food and Entertaining,Drinks,13,48920
729144,7V4Q1npx9ZQ,Food and Entertaining,Recipes,147,11488
612471,7vkgyzDdsQw,Home and Garden,Housekeeping,56,28360
515617,7X5CBjcEOkg,Home and Garden,Home Improvements and Repairs,34,90922
909245,7xyLr-zsfo8,Hobbies and Crafts,Crafts,9,90309
1163833,7YX0TYEzGuE,Food and Entertaining,Recipes,117,32211
582809,8-UHOsHefHU,Hobbies and Crafts,Toys,129,59733
32012,81H3jRPnYEg,Hobbies and Crafts,Crafts,67,12853
100821,81X-sFRUAd0,Cars & Other Vehicles,Cars,177,101941
656782,83vq0Z3Koeo,Food and Entertaining,Drinks,120,118842
867424,84j1Wvh-1YU,Food and Entertaining,Food Preparation,48,73357
1237023,86Jyj87Bs5A,Hobbies and Crafts,Crafts,156,119481
1217858,8b6VqlTJ1z8,Food and Entertaining,Recipes,81,41692
1031185,8BX7JlbTDNs,Food and Entertaining,Drinks,4,16362
1066587,8CDdNAQAFfM,Food and Entertaining,Recipes,116,120636
615269,8CJPZpntjRg,Food and Entertaining,Recipes,143,94482
311360,8e7l5Xn_6sY,Cars & Other Vehicles,Boats,124,38940
985355,8evhBQSHiNA,Food and Entertaining,Recipes,2,58324
385691,8f5o3YcAf6M,Hobbies and Crafts,Crafts,39,28349
510886,8FEL41QvHzU,Home and Garden,Home Improvements and Repairs,69,55181
83008,8fVtuts5mtk,Hobbies and Crafts,Crafts,8,8289
63277,8hAhKmwbqQ0,Hobbies and Crafts,Crafts,137,7050
110970,8hj9xDOUM5w,Hobbies and Crafts,Crafts,120,44246
134466,8i4BgFLR8mw,Pets and Animals,Small and Furry,39,33622
698164,8IG7TGcaXoE,Food and Entertaining,Recipes,127,65178
944910,8IwVZY2juvM,Food and Entertaining,Recipes,124,56642
690274,8JiKFCvBxvo,Pets and Animals,Bugs,78,51088
249257,8JJjO8iz0oc,Hobbies and Crafts,Crafts,99,89772
803376,8JlOHhCksfM,Food and Entertaining,Recipes,87,95467
9884,8KVPDvga1o8,Cars & Other Vehicles,Cars,37,118110
712593,8LQhrHyX-kM,Pets and Animals,Fish,22,17397
547860,8nffllv3rdY,Sports and Fitness,Outdoor Recreation,98,63048
813984,8o1Boy_o748,Food and Entertaining,Drinks,163,27345
495460,8Pkc_Hf4HRQ,Food and Entertaining,Drinks,6,114954
1040270,8PZ8UdoDC5c,Home and Garden,Housekeeping,140,114065
685151,8qXVkoZFhIM,Food and Entertaining,Recipes,100,106348
624375,8V5eBOz19O4,Food and Entertaining,Holiday Cooking,2,21013
223311,8Va1iS74vCE,Food and Entertaining,Recipes,49,42881
109391,8yBdwQ9kWyM,Food and Entertaining,Drinks,50,85890
1199304,8yBrMxRfFpA,Hobbies and Crafts,Crafts,140,44273
37316,8ZDBWHbVj8w,Home and Garden,Housekeeping,87,33744
960899,8zw5RAtEQiA,Food and Entertaining,Recipes,93,73489
397122,8zxEcPlBQHE,Home and Garden,Gardening,135,81762
485450,9-76LX6fsU4,Home and Garden,Gardening,110,83553
159434,91Eg7nzBPqw,Personal Care and Style,Grooming,174,60542
885507,92osu-QCF0E,Food and Entertaining,Recipes,56,106099
1124033,93DdjYjo6j0,Home and Garden,Gardening,124,73903
1107273,95q0LxUbdlA,Home and Garden,Gardening,165,73970
547368,96jei8ge-Qg,Pets and Animals,Dogs,77,3582
797469,982ms6aFP2E,Food and Entertaining,Drinks,132,121324
955637,9ec7pJ8WKcY,Food and Entertaining,Recipes,17,77193
1207384,9EvDWs5xc0c,Food and Entertaining,Recipes,109,32230
884634,9f2dJ2fFBb0,Home and Garden,Gardening,19,89998
689737,9GSYo75sfCY,Food and Entertaining,Recipes,64,12880
1163874,9h6H5GuAomo,Food and Entertaining,Recipes,117,16652
773329,9h7eqHKh0ag,Home and Garden,Moving House and Packing,16,66861
449615,9HuoxkmV6tE,Home and Garden,Home Improvements and Repairs,171,22327
170118,9JeUrd47u9Q,Home and Garden,Landscaping and Outdoor Building,103,92094
482379,9Jkz5dwdAqI,Food and Entertaining,Food Preparation,31,53438
1158508,9kbZvgvY-30,Food and Entertaining,Recipes,67,93427
905628,9mTknYFOSmY,Home and Garden,Home Improvements and Repairs,133,35235
508336,9pKOfguCofo,Hobbies and Crafts,Crafts,43,53125
363745,9po8GkIMpyM,Food and Entertaining,Recipes,183,96127
24874,9QXtCH6A8_4,Education and Communications,Subjects,139,352
254164,9r8KZllmGYg,Hobbies and Crafts,Crafts,169,10101
849989,9S1sKtifKZw,Food and Entertaining,Drinks,36,85890
706999,9tKHZFLbtUI,Hobbies and Crafts,Model Making,52,35175
744183,9tUAU5TmKjM,Home and Garden,Landscaping and Outdoor Building,104,15938
626952,9Ufp3kQLBUg,Pets and Animals,Cats,160,54412
529079,9VybYh94wH0,Arts and Entertainment,Books,20,23146
820936,9X4_tw_yyeI,Food and Entertaining,Recipes,2,84756
153099,9YH9_skNX08,Cars & Other Vehicles,Motorcycles,44,109422
210647,9YxIvhjkC7g,Family Life,Parenting,60,14836
444337,9YZ7KQ-g6lw,Holidays and Traditions,Halloween,63,91317
528491,A-zwa5OEIQY,Food and Entertaining,Recipes,65,101089
222455,a-zwdrTR6Mo,Health,Medication and Medical Equipment,199,122663
806657,a0DqWUOqcKw,Food and Entertaining,Recipes,79,106433
1121904,a0rTdw7cnuM,Food and Entertaining,Recipes,86,8353
867726,A15kApkMAdU,Food and Entertaining,Recipes,111,58304
943192,A31hor0odFY,Food and Entertaining,Recipes,25,82719
161017,a4JYq2i4DJU,Food and Entertaining,Recipes,10,84744
448818,A5Vv8WTzTtc,Food and Entertaining,Recipes,79,32216
1117772,a6BoCMfHonc,Home and Garden,Gardening,140,73883
936635,aA010b_TC4M,Food and Entertaining,Recipes,131,71748
549936,aA4YzxuvhEY,Food and Entertaining,Herbs and Spices,24,111619
681976,Aa68DjiJJGU,Food and Entertaining,Food Preparation,51,91238
98889,aaqsvup0qDU,Hobbies and Crafts,Collecting,28,93512
477007,AaRfZ52sq3s,Hobbies and Crafts,Toys,134,13198
840445,AB3I08zoXxg,Home and Garden,Housekeeping,57,101982
1083985,ABH_qoRIg38,Food and Entertaining,Holiday Cooking,15,106072
988841,abWiqpPdfuY,Hobbies and Crafts,Crafts,153,44354
282110,AdCZLuiZX4Y,Cars & Other Vehicles,Cars,16,95150
39194,Ae5bxragJfI,Holidays and Traditions,Gift Giving,135,110247
214850,AeeSWjNerT4,Hobbies and Crafts,Crafts,98,119832
242684,AeOABf-Gk3o,Holidays and Traditions,Christmas,2,120062
582,Af48cqol0w8,Hobbies and Crafts,Crafts,7,59236
798757,af6YQDY89kQ,Home and Garden,Housekeeping,47,21752
347744,af7ODi9qv7U,Hobbies and Crafts,Crafts,22,46891
471112,Afb31k7k-z8,Food and Entertaining,Recipes,53,59373
138113,aFecIGy3DAE,Hobbies and Crafts,Crafts,175,90403
40021,aFL3punuHVI,Hobbies and Crafts,Woodworking,36,57701
245606,ag374G2QB64,Home and Garden,Home Improvements and Repairs,80,70487
88032,aGGp5__X5d8,Home and Garden,Home Improvements and Repairs,101,114104
1126759,AGPx-bRI_3Y,Food and Entertaining,Recipes,11,61047
655350,AguRY7a2qr8,Food and Entertaining,Recipes,36,93296
123985,Ah-0vxU9Kfw,Holidays and Traditions,Halloween,4,59415
359300,aHbQYajfGqM,Hobbies and Crafts,Crafts,46,92639
52740,aHd5_xcrfFg,Home and Garden,Home Improvements and Repairs,22,45207
291346,ahk5RANxu80,Home and Garden,Housekeeping,23,42284
1226596,AhmKk6GRe4M,Food and Entertaining,Food Preparation,153,53418
780909,AHsS2h4QscQ,Food and Entertaining,Recipes,93,120555
902518,AhTB1HHmzGI,Hobbies and Crafts,Sculpting,118,60820
398118,AiJTKUn-kTA,Food and Entertaining,Recipes,49,106661
63874,AIXUgtNC4Kc,Holidays and Traditions,Halloween,68,37363
